product_name,price_(kes),skin_type,conditions,ingredients,effectiveness_score,benefits,skin_type_All,skin_type_Combination,skin_type_Dry,skin_type_Normal,skin_type_Oily,skin_type_Sensitive,condition_Acne,condition_Blackheads,condition_Dry Skin,condition_Eczema,condition_Psoriasis,condition_Sensitive,condition_Vitiligo,condition_Wrinkles,condition_Diabetic Skin
Acne Clear Face Wash,1500,Oily,Acne,Salicylic Acid; Tea Tree Oil,9.0,"['Antibacterial', 'Clears clogged pores']",0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hydration Repair Cream,2000,Dry; Sensitive,Eczema; Dry Skin; Diabetic Skin,Hyaluronic Acid; Ceramides,8.5,"['Deep hydration', 'Restores skin barrier']",0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
Oil-Free Sunscreen SPF 50,1800,Oily; Combination,Acne; Sensitive,Zinc Oxide; Aloe Vera,8.8,['UV Protection'],0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Psoriasis Relief Balm,2500,Dry,Psoriasis,Oat Extract; Shea Butter,9.2,['Soothes irritation'],0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Vitiligo Pigment Booster,3000,All,Vitiligo,Vitamin C; Niacinamide,7.8,['Brightens skin'],1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Anti-Redness Moisturizer,2200,Sensitive,Eczema; Dry Skin; Diabetic Skin,Green Tea Extract; Chamomile,8.7,['Reduces redness; antioxidant'],0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
Hydrating Gel Cleanser,1700,Combination,Dry Skin; Acne; Diabetic Skin,Hyaluronic Acid; Aloe Vera,8.2,['Deep hydration'],0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
Deep Pore Charcoal Mask,1800,Oily; Combination,Acne; Blackheads,Activated Charcoal; Clay,9.1,['Absorbs excess oil'],0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Intensive Repair Night Cream,2800,Dry; Normal,Dry Skin; Wrinkles; Diabetic Skin,Retinol; Peptides,8.9,['Anti-aging; improves texture'],0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
Ultra-Light Daily Moisturizer,1900,Normal; Combination,Unknown,Jojoba Oil; Squalane,8.5,['Lightweight hydration'],0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Diabetic Skin Relief Lotion,2500,Dry,Diabetic Skin,Shea Butter; Urea,8.8,['Deep hydration for diabetic skin'],0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,1.0
Gentle Exfoliating Scrub,1700,Combination; Normal,Blackheads,Jojoba Beads; Glycolic Acid,8.6,"['Removes dead skin, unclogs pores']",0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,,0.0,0.0,,0.0,0.0,0.0
Vitiligo Relief Cream,2600,Sensitive,Vitiligo,Vitamin E; Aloe Vera,8.2,['Soothes skin; Reduces inflammation'],0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Generic Eczema Treatment for Oily Skin,2000,Oily,Eczema,Generic Ingredients,7.5,Helps manage Eczema for Oily skin,,,,,,,,,,,,,,,
Generic Psoriasis Treatment for Oily Skin,2000,Oily,Psoriasis,Generic Ingredients,7.5,Helps manage Psoriasis for Oily skin,,,,,,,,,,,,,,,
Generic Dry Skin Treatment for Oily Skin,2000,Oily,Dry Skin,Generic Ingredients,7.5,Helps manage Dry Skin for Oily skin,,,,,,,,,,,,,,,
Generic Diabetic Skin Treatment for Oily Skin,2000,Oily,Diabetic Skin,Generic Ingredients,7.5,Helps manage Diabetic Skin for Oily skin,,,,,,,,,,,,,,,
Generic Vitiligo Treatment for Oily Skin,2000,Oily,Vitiligo,Generic Ingredients,7.5,Helps manage Vitiligo for Oily skin,,,,,,,,,,,,,,,
Generic Wrinkles Treatment for Oily Skin,2000,Oily,Wrinkles,Generic Ingredients,7.5,Helps manage Wrinkles for Oily skin,,,,,,,,,,,,,,,
Generic Acne Treatment for Dry Skin,2000,Dry,Acne,Generic Ingredients,7.5,Helps manage Acne for Dry skin,,,,,,,,,,,,,,,
Generic Vitiligo Treatment for Dry Skin,2000,Dry,Vitiligo,Generic Ingredients,7.5,Helps manage Vitiligo for Dry skin,,,,,,,,,,,,,,,
Generic Blackheads Treatment for Dry Skin,2000,Dry,Blackheads,Generic Ingredients,7.5,Helps manage Blackheads for Dry skin,,,,,,,,,,,,,,,
Generic Acne Treatment for Normal Skin,2000,Normal,Acne,Generic Ingredients,7.5,Helps manage Acne for Normal skin,,,,,,,,,,,,,,,
Generic Eczema Treatment for Normal Skin,2000,Normal,Eczema,Generic Ingredients,7.5,Helps manage Eczema for Normal skin,,,,,,,,,,,,,,,
Generic Psoriasis Treatment for Normal Skin,2000,Normal,Psoriasis,Generic Ingredients,7.5,Helps manage Psoriasis for Normal skin,,,,,,,,,,,,,,,
Generic Vitiligo Treatment for Normal Skin,2000,Normal,Vitiligo,Generic Ingredients,7.5,Helps manage Vitiligo for Normal skin,,,,,,,,,,,,,,,
Generic Eczema Treatment for Combination Skin,2000,Combination,Eczema,Generic Ingredients,7.5,Helps manage Eczema for Combination skin,,,,,,,,,,,,,,,
Generic Psoriasis Treatment for Combination Skin,2000,Combination,Psoriasis,Generic Ingredients,7.5,Helps manage Psoriasis for Combination skin,,,,,,,,,,,,,,,
Generic Vitiligo Treatment for Combination Skin,2000,Combination,Vitiligo,Generic Ingredients,7.5,Helps manage Vitiligo for Combination skin,,,,,,,,,,,,,,,
Generic Wrinkles Treatment for Combination Skin,2000,Combination,Wrinkles,Generic Ingredients,7.5,Helps manage Wrinkles for Combination skin,,,,,,,,,,,,,,,
Generic Acne Treatment for Sensitive Skin,2000,Sensitive,Acne,Generic Ingredients,7.5,Helps manage Acne for Sensitive skin,,,,,,,,,,,,,,,
Generic Psoriasis Treatment for Sensitive Skin,2000,Sensitive,Psoriasis,Generic Ingredients,7.5,Helps manage Psoriasis for Sensitive skin,,,,,,,,,,,,,,,
Generic Blackheads Treatment for Sensitive Skin,2000,Sensitive,Blackheads,Generic Ingredients,7.5,Helps manage Blackheads for Sensitive skin,,,,,,,,,,,,,,,
Generic Wrinkles Treatment for Sensitive Skin,2000,Sensitive,Wrinkles,Generic Ingredients,7.5,Helps manage Wrinkles for Sensitive skin,,,,,,,,,,,,,,,
